frame,x,y,area,dx,dy,displacement
0,659,485,890.5,,,
1,656,495,995.0,-3.0,10.0,10.44030650891055
2,651,504,906.5,-5.0,9.0,10.295630140987
5,645,343,835.5,-6.0,-161.0,161.11176245079065
6,651,351,941.0,6.0,8.0,10.0
7,657,359,943.5,6.0,8.0,10.0
8,664,362,1116.5,7.0,3.0,7.615773105863909
9,670,368,1163.5,6.0,6.0,8.48528137423857
10,677,375,1242.5,7.0,7.0,9.899494936611665
11,621,339,1437.5,-56.0,-36.0,66.57326790837296
12,544,278,1477.0,-77.0,-61.0,98.2344135219425
13,555,279,1468.0,11.0,1.0,11.045361017187261
14,565,279,1549.0,10.0,0.0,10.0
15,1042,659,1028.0,477.0,380.0,609.8598199586525
16,1031,654,1090.0,-11.0,-5.0,12.083045973594572
17,449,558,1302.0,-582.0,-96.0,589.8643911951289
18,1010,642,1022.5,561.0,84.0,567.2539114012349
20,670,361,802.0,-340.0,-281.0,441.09069362207134
21,673,368,851.0,3.0,7.0,7.615773105863909
22,676,375,938.0,3.0,7.0,7.615773105863909
23,539,276,1635.5,-137.0,-99.0,169.0266251216062
24,608,323,2298.5,69.0,47.0,83.48652585896721
25,556,279,1553.5,-52.0,-44.0,68.11754546370561
26,564,283,1688.0,8.0,4.0,8.94427190999916
27,571,289,1561.5,7.0,6.0,9.219544457292887
28,613,380,1431.5,42.0,91.0,100.22474744293447
29,586,297,1492.5,-27.0,-83.0,87.28115489611719
30,589,306,1474.0,3.0,9.0,9.486832980505138
31,593,313,1565.0,4.0,7.0,8.06225774829855
32,597,321,1598.5,4.0,8.0,8.94427190999916
33,598,331,1793.5,1.0,10.0,10.04987562112089
34,601,340,1843.0,3.0,9.0,9.486832980505138
35,605,349,1832.0,4.0,9.0,9.848857801796104
36,608,357,1863.5,3.0,8.0,8.54400374531753
37,612,366,1739.5,4.0,9.0,9.848857801796104
38,613,375,1679.0,1.0,9.0,9.055385138137417
39,616,383,1503.0,3.0,8.0,8.54400374531753
40,616,392,1671.0,0.0,9.0,9.0
41,616,400,1646.0,0.0,8.0,8.0
42,617,408,1651.5,1.0,8.0,8.06225774829855
43,616,417,1662.5,-1.0,9.0,9.055385138137417
44,642,269,1782.5,26.0,-148.0,150.2664300500947
45,649,278,1844.0,7.0,9.0,11.40175425099138
46,655,288,1806.5,6.0,10.0,11.661903789690601
47,661,298,1933.0,6.0,10.0,11.661903789690601
48,670,298,1505.5,9.0,0.0,9.0
49,670,319,1985.5,0.0,21.0,21.0
50,672,330,1903.0,2.0,11.0,11.180339887498949
51,611,244,1891.0,-61.0,-86.0,105.43718509140881
52,619,256,1865.5,8.0,12.0,14.422205101855956
53,626,259,2149.0,7.0,3.0,7.615773105863909
54,633,266,2275.0,7.0,7.0,9.899494936611665
55,639,277,2287.0,6.0,11.0,12.529964086141668
56,645,284,2481.0,6.0,7.0,9.219544457292887
57,647,310,1548.0,2.0,26.0,26.076809620810597
58,650,319,1587.0,3.0,9.0,9.486832980505138
59,652,330,1672.5,2.0,11.0,11.180339887498949
60,654,342,1766.0,2.0,12.0,12.165525060596439
61,635,264,1658.0,-19.0,-78.0,80.2807573457052
62,640,273,1710.5,5.0,9.0,10.295630140987
63,644,284,1771.0,4.0,11.0,11.704699910719626
64,645,295,1687.5,1.0,11.0,11.045361017187261
65,647,306,1713.5,2.0,11.0,11.180339887498949
66,540,309,1912.5,-107.0,3.0,107.0420478129973
67,543,319,2082.0,3.0,10.0,10.44030650891055
68,549,326,1983.0,6.0,7.0,9.219544457292887
69,555,307,2888.5,6.0,-19.0,19.924858845171276
70,558,310,3361.5,3.0,3.0,4.242640687119285
71,541,311,6351.5,-17.0,1.0,17.029386365926403
72,567,361,1960.5,26.0,50.0,56.356011214421486
73,571,370,1806.5,4.0,9.0,9.848857801796104
74,574,378,1901.0,3.0,8.0,8.54400374531753
75,538,306,2103.5,-36.0,-72.0,80.49844718999243
76,587,368,3030.0,49.0,62.0,79.02531240052139
77,592,377,3204.5,5.0,9.0,10.295630140987
78,598,389,3249.5,6.0,12.0,13.416407864998739
79,603,400,3190.5,5.0,11.0,12.083045973594572
80,608,411,3089.5,5.0,11.0,12.083045973594572
81,581,358,2211.5,-27.0,-53.0,59.481089431852205
82,587,363,2057.5,6.0,5.0,7.810249675906654
83,592,372,2000.5,5.0,9.0,10.295630140987
84,599,378,1721.5,7.0,6.0,9.219544457292887
85,517,324,1408.0,-82.0,-54.0,98.18350166906862
86,606,394,1762.5,89.0,70.0,113.22985472038724
87,610,402,1720.5,4.0,8.0,8.94427190999916
88,538,335,1628.5,-72.0,-67.0,98.35141076771599
89,546,339,1694.5,8.0,4.0,8.94427190999916
90,553,341,1663.0,7.0,2.0,7.280109889280518
91,560,348,1802.5,7.0,7.0,9.899494936611665
92,568,351,1631.5,8.0,3.0,8.54400374531753
93,572,361,1761.5,4.0,10.0,10.770329614269007
94,634,458,1406.5,62.0,97.0,115.12167476196652
95,680,323,1164.0,46.0,-135.0,142.6218777046495
96,720,412,1132.5,40.0,89.0,97.57561170702442
97,721,422,1131.5,1.0,10.0,10.04987562112089
98,695,346,1378.5,-26.0,-76.0,80.32434251209281
99,699,354,1341.5,4.0,8.0,8.94427190999916
100,702,364,1462.0,3.0,10.0,10.44030650891055
101,707,374,1516.0,5.0,10.0,11.180339887498949
102,712,383,1526.0,5.0,9.0,10.295630140987
103,717,391,1479.0,5.0,8.0,9.433981132056603
104,721,400,1529.0,4.0,9.0,9.848857801796104
112,715,357,926.0,-6.0,-43.0,43.41658669218482
113,701,290,817.0,-14.0,-67.0,68.4470598345904
114,716,377,930.0,15.0,87.0,88.28363381737297
115,720,391,953.0,4.0,14.0,14.560219778561036
116,709,315,936.5,-11.0,-76.0,76.79192665899195
117,612,306,1595.0,-97.0,-9.0,97.41663102366043
118,616,313,1616.5,4.0,7.0,8.06225774829855
119,619,322,1713.0,3.0,9.0,9.486832980505138
120,625,328,1577.5,6.0,6.0,8.48528137423857
121,627,337,1698.0,2.0,9.0,9.219544457292887
122,1229,551,2447.5,602.0,214.0,638.9053137985316
123,641,348,1258.5,-588.0,-203.0,622.055463765089
124,644,355,1178.5,3.0,7.0,7.615773105863909
125,1178,546,1057.0,534.0,191.0,567.1304964468054
126,1169,544,1256.0,-9.0,-2.0,9.219544457292887
127,1160,541,1324.0,-9.0,-3.0,9.486832980505138
128,1150,538,1338.0,-10.0,-3.0,10.44030650891055
129,1142,535,1317.0,-8.0,-3.0,8.54400374531753
130,1133,532,1334.0,-9.0,-3.0,9.486832980505138
131,1120,530,1661.5,-13.0,-2.0,13.152946437965905
132,1114,530,1601.5,-6.0,0.0,6.0
133,1102,530,2778.5,-12.0,0.0,12.0
