frame,x_old,y_old,x_new,y_new,dx,dy,displacement
0,788.0,318.0,782.3409,316.39548,-5.6591187,-1.6045227,5.8821864
0,774.0,332.0,767.5231,329.36523,-6.4769287,-2.6347656,6.9923244
0,776.0,357.0,768.12024,354.0963,-7.8797607,-2.9036865,8.397739
0,548.0,645.0,548.38574,645.0234,0.3857422,0.023376465,0.38644984
0,300.0,141.0,300.44565,140.84401,0.4456482,-0.1559906,0.47216034
0,722.0,237.0,722.4935,230.63182,0.49353027,-6.3681793,6.3872747
0,772.0,218.0,772.83954,215.1241,0.8395386,-2.8759003,2.9959352
0,849.0,236.0,848.32385,238.07228,-0.67614746,2.072281,2.1797988
0,677.0,286.0,674.0806,276.7633,-2.9193726,-9.236694,9.687066
0,669.0,312.0,664.10004,302.52124,-4.8999634,-9.47876,10.670358
0,284.0,201.0,284.48438,200.71983,0.484375,-0.28016663,0.55956453
0,314.0,148.0,314.30234,147.96225,0.30233765,-0.037750244,0.3046853
0,293.0,229.0,293.41263,228.90988,0.41262817,-0.09011841,0.42235452
0,1179.0,446.0,1179.9949,445.4978,0.99487305,-0.50219727,1.1144391
0,891.0,285.0,886.5019,290.23587,-4.498108,5.2358704,6.902704
0,1245.0,82.0,1245.9269,81.52052,0.9268799,-0.47947693,1.0435537
0,882.0,381.0,871.72925,384.88272,-10.270752,3.882721,10.980158
0,333.0,153.0,333.46988,152.79349,0.46987915,-0.20651245,0.51325804
0,811.0,212.0,811.7547,211.76645,0.7546997,-0.23355103,0.7900112
0,309.0,230.0,309.47522,229.86905,0.47521973,-0.13095093,0.492932
0,719.0,346.0,711.4902,339.27118,-7.5098267,-6.728821,10.083379
0,817.0,231.0,817.1044,231.32884,0.10437012,0.32884216,0.34500766
0,1148.0,74.0,1149.0464,73.25421,1.0463867,-0.7457886,1.2849613
0,665.0,338.0,658.7549,328.63672,-6.245117,-9.363281,11.254889
0,778.0,257.0,777.2382,254.78366,-0.7617798,-2.216339,2.3436015
0,788.0,223.0,789.09485,221.61551,1.0948486,-1.384491,1.7650805
0,741.0,276.0,738.858,271.19745,-2.1420288,-4.8025513,5.2585917
0,768.0,284.0,765.5082,281.3165,-2.4918213,-2.6835022,3.6620154
0,761.0,239.0,761.00916,234.53444,0.009155273,-4.465561,4.4655704
0,806.0,258.0,804.33923,257.6653,-1.6607666,-0.33468628,1.6941549
0,841.0,328.0,833.96716,329.99088,-7.032837,1.9908752,7.3091984
0,893.0,356.0,884.2606,361.28824,-8.73938,5.2882385,10.214805
0,689.0,255.0,688.11536,246.82094,-0.88464355,-8.179062,8.226765
0,724.0,222.0,724.7899,215.86972,0.789917,-6.1302795,6.1809626
0,1247.0,98.0,1247.8599,97.41577,0.8598633,-0.5842285,1.0395613
0,842.0,263.0,839.6449,264.58984,-2.3551025,1.5898438,2.8414981
0,703.0,293.0,699.80756,285.43573,-3.1924438,-7.56427,8.210352
0,729.0,301.0,725.23676,295.3419,-3.7632446,-5.6581116,6.79531
0,822.0,301.0,817.4706,301.94925,-4.529419,0.94924927,4.627819
0,795.0,293.0,791.78345,291.80356,-3.2165527,-1.1964417,3.431863
0,700.0,487.0,683.35614,485.92154,-16.64386,-1.0784607,16.678764
0,757.0,329.0,750.6044,325.52832,-6.39563,-3.4716797,7.2771316
0,873.0,254.0,870.96136,257.88495,-2.0386353,3.8849487,4.387352
0,838.0,355.0,828.8914,356.29636,-9.108582,1.2963562,9.20037
0,711.0,264.0,709.8726,257.13202,-1.1273804,-6.867981,6.9598956
0,758.0,311.0,753.36426,307.60095,-4.635742,-3.3990479,5.748359
0,889.0,319.0,882.47125,324.02063,-6.5287476,5.02063,8.235974
0,861.0,309.0,855.75256,311.7224,-5.2474365,2.722412,5.9116087
0,811.0,346.0,802.6759,345.09833,-8.324097,-0.90167236,8.372789
0,694.0,310.0,688.76483,301.3842,-5.2351685,-8.615814,10.081629
1,782.3409,316.39548,776.8922,314.7279,-5.4486694,-1.667572,5.6981397
1,767.5231,329.36523,761.18823,326.8386,-6.334839,-2.5266418,6.8201246
1,768.12024,354.0963,760.5188,351.6999,-7.6014404,-2.3964233,7.970241
1,548.38574,645.0234,549.5965,640.6525,1.2107544,-4.3708496,4.535444
1,300.44565,140.84401,301.03854,140.6631,0.5928955,-0.1809082,0.61988133
1,722.4935,230.63182,723.23975,225.04424,0.7462158,-5.5875854,5.6371937
1,772.83954,215.1241,774.4425,212.77757,1.6029663,-2.346527,2.841776
1,848.32385,238.07228,847.5047,240.65617,-0.81915283,2.5838928,2.7106297
1,674.0806,276.7633,671.62823,267.9271,-2.4523926,-8.836212,9.170217
1,664.10004,302.52124,659.939,293.91772,-4.1610107,-8.603516,9.556908
1,284.48438,200.71983,284.83325,200.9125,0.34887695,0.19267273,0.39854476
1,314.30234,147.96225,314.66293,147.82655,0.3605957,-0.13569641,0.38528273
1,293.41263,228.90988,293.90506,228.79185,0.49243164,-0.11802673,0.50637853
1,1179.9949,445.4978,1181.4225,445.0373,1.4276123,-0.46051025,1.5000489
1,886.5019,290.23587,882.0053,295.77216,-4.496582,5.5362854,7.1323
1,1245.9269,81.52052,1247.8307,80.45369,1.9038086,-1.0668335,2.182343
1,871.72925,384.88272,862.0993,388.6109,-9.629944,3.72818,10.326429
1,333.46988,152.79349,334.12326,152.57993,0.65338135,-0.21356201,0.68739796
1,811.7547,211.76645,813.3789,212.26956,1.6242065,0.5031128,1.700344
1,309.47522,229.86905,310.0061,229.68962,0.5308838,-0.1794281,0.56038564
1,711.4902,339.27118,704.5541,332.51318,-6.936096,-6.7579956,9.684004
1,817.1044,231.32884,817.8282,232.13718,0.7238159,0.80833435,1.0850409
1,1149.0464,73.25421,1149.8829,72.490875,0.83654785,-0.7633362,1.1324728
1,658.7549,328.63672,652.6075,320.38644,-6.1474,-8.250275,10.288711
1,777.2382,254.78366,776.7426,253.14685,-0.49560547,-1.6368103,1.7101967
1,789.09485,221.61551,790.58527,220.50154,1.4904175,-1.1139679,1.8607173
1,738.858,271.19745,737.749,266.80655,-1.1089478,-4.3908997,4.528771
1,765.5082,281.3165,762.93054,278.7147,-2.5776367,-2.6018066,3.6624594
1,761.00916,234.53444,761.5655,230.76183,0.55633545,-3.7726135,3.8134134
1,804.33923,257.6653,803.1765,257.91803,-1.1627197,0.25271606,1.1898667
1,833.96716,329.99088,826.90686,332.47107,-7.0603027,2.480194,7.483264
1,884.2606,361.28824,876.0046,365.85193,-8.2560425,4.56369,9.433425
1,688.11536,246.82094,687.0145,239.63084,-1.1008301,-7.190094,7.2738767
1,724.7899,215.86972,724.2297,211.1086,-0.5602417,-4.7611237,4.7939725
1,1247.8599,97.41577,1249.7306,95.928696,1.8707275,-1.4870758,2.3897731
1,839.6449,264.58984,837.0273,266.82202,-2.6176147,2.2321777,3.4401343
1,699.80756,285.43573,697.27295,278.6358,-2.534607,-6.7999268,7.2569437
1,725.23676,295.3419,721.4902,290.27887,-3.746582,-5.063019,6.298495
1,817.4706,301.94925,813.17706,303.03568,-4.293518,1.0864258,4.428839
1,791.78345,291.80356,787.9579,291.4165,-3.8255615,-0.38705444,3.8450918
1,683.35614,485.92154,667.61664,484.94177,-15.739502,-0.97976685,15.769967
1,750.6044,325.52832,744.24835,322.01468,-6.356018,-3.5136414,7.2625504
1,870.96136,257.88495,868.9865,262.1199,-1.9748535,4.234955,4.6727815
1,828.8914,356.29636,819.7458,357.55643,-9.14563,1.2600708,9.232027
1,709.8726,257.13202,708.8914,250.78026,-0.9812012,-6.351761,6.4271007
1,753.36426,307.60095,748.9268,304.13156,-4.437439,-3.4693909,5.63272
1,882.47125,324.02063,876.32623,328.3086,-6.1450195,4.287964,7.4931903
1,855.75256,311.7224,850.2123,314.5698,-5.540283,2.8473816,6.2291512
1,802.6759,345.09833,794.98346,344.75592,-7.692444,-0.34240723,7.7000604
1,688.76483,301.3842,684.05347,293.57483,-4.7113647,-7.8093567,9.120472
2,776.8922,314.7279,770.8571,313.70624,-6.035095,-1.0216675,6.120962
2,761.18823,326.8386,754.4717,324.6367,-6.7165527,-2.2019043,7.0682716
2,760.5188,351.6999,752.45514,349.34418,-8.06366,-2.355713,8.400714
2,549.5965,640.6525,549.8611,631.99115,0.2645874,-8.661377,8.665417
2,301.03854,140.6631,301.40097,140.54254,0.36242676,-0.12055969,0.3819526
2,723.23975,225.04424,723.88574,220.37442,0.6459961,-4.669815,4.714285
2,774.4425,212.77757,775.2606,211.42621,0.81811523,-1.3513641,1.5797144
2,847.5047,240.65617,846.30646,244.1838,-1.1982422,3.5276337,3.725585
2,671.62823,267.9271,669.5971,259.3584,-2.031128,-8.568695,8.806135
2,659.939,293.91772,655.95245,284.61972,-3.9865723,-9.298004,10.116602
2,284.83325,200.9125,285.27216,200.86417,0.4389038,-0.048339844,0.4415578
2,314.66293,147.82655,314.939,147.73257,0.276062,-0.09397888,0.29162008
2,293.90506,228.79185,294.3808,228.62949,0.47573853,-0.16236877,0.5026836
2,1181.4225,445.0373,1182.3983,444.60263,0.9758301,-0.43466187,1.068258
2,882.0053,295.77216,876.65173,301.49298,-5.3535767,5.720825,7.835089
2,1247.8307,80.45369,1248.5647,79.69998,0.7340088,-0.7537079,1.0520667
2,862.0993,388.6109,851.10724,392.84827,-10.992065,4.2373657,11.780524
2,334.12326,152.57993,334.36407,152.47334,0.24081421,-0.10658264,0.26334643
2,813.3789,212.26956,813.6412,213.38823,0.26226807,1.1186676,1.1490003
2,310.0061,229.68962,310.38403,229.48079,0.3779297,-0.20883179,0.4317888
2,704.5541,332.51318,697.47327,326.27176,-7.0808105,-6.2414246,9.438923
2,817.8282,232.13718,817.39105,234.30843,-0.4371338,2.1712494,2.214816
2,1149.8829,72.490875,1150.847,71.787476,0.9641113,-0.70339966,1.1934327
2,652.6075,320.38644,646.9014,313.38577,-5.7060547,-7.0006714,9.031526
2,776.7426,253.14685,775.71533,252.34138,-1.0272827,-0.8054657,1.305406
2,790.58527,220.50154,791.1874,220.8237,0.6021118,0.3221588,0.68287987
2,737.749,266.80655,735.7054,263.2223,-2.0436401,-3.584259,4.1259394
2,762.93054,278.7147,759.8107,276.54514,-3.119812,-2.1695557,3.8000262
2,761.5655,230.76183,761.52155,228.36426,-0.043945312,-2.3975677,2.3979704
2,803.1765,257.91803,800.6832,258.84998,-2.4932861,0.9319458,2.661766
2,826.90686,332.47107,818.7375,334.9997,-8.169373,2.5286255,8.55176
2,876.0046,365.85193,865.83,370.96774,-10.174561,5.115814,11.388294
2,687.0145,239.63084,686.3836,233.27684,-0.6309204,-6.354004,6.3852506
2,724.2297,211.1086,724.16595,206.8207,-0.0637207,-4.287903,4.2883763
2,1249.7306,95.928696,1250.4668,95.7018,0.73620605,-0.2268982,0.77037793
2,837.0273,266.82202,834.0889,269.66776,-2.9383545,2.8457336,4.0904922
2,697.27295,278.6358,694.4985,272.71402,-2.774475,-5.9217834,6.539513
2,721.4902,290.27887,717.8165,285.9018,-3.673645,-4.377075,5.7144074
2,813.17706,303.03568,808.11,304.7032,-5.0670776,1.667511,5.334404
2,787.9579,291.4165,784.1718,291.3414,-3.7860718,-0.07510376,3.7868166
2,667.61664,484.94177,651.6644,484.15598,-15.952209,-0.7857971,15.971552
2,744.24835,322.01468,737.70386,318.55667,-6.5444946,-3.4580078,7.401907
2,868.9865,262.1199,866.3604,267.60944,-2.6260986,5.4895325,6.08534
2,819.7458,357.55643,809.8838,358.68414,-9.8619995,1.1277161,9.926267
2,708.8914,250.78026,708.246,245.62209,-0.6454468,-5.1581726,5.1983986
2,748.9268,304.13156,744.13293,301.6066,-4.7938843,-2.5249634,5.4181886
2,876.32623,328.3086,868.71063,333.1156,-7.6156006,4.807007,9.005815
2,850.2123,314.5698,844.0724,318.25458,-6.1398926,3.684784,7.1607203
2,794.98346,344.75592,786.71643,344.64838,-8.267029,-0.107543945,8.267728
2,684.05347,293.57483,679.3123,285.85672,-4.74115,-7.718109,9.05802
3,770.8571,313.70624,764.5283,313.16016,-6.3287964,-0.54608154,6.352312
3,754.4717,324.6367,747.5724,322.98816,-6.899292,-1.648529,7.0935097
3,752.45514,349.34418,743.9786,347.51508,-8.4765625,-1.8291016,8.671662
3,301.40097,140.54254,301.665,140.42859,0.2640381,-0.11395264,0.28757834
3,723.88574,220.37442,724.78064,216.41954,0.89489746,-3.9548798,4.054863
3,775.2606,211.42621,776.35004,211.07922,1.0894165,-0.34698486,1.1433402
3,846.30646,244.1838,844.06635,248.9848,-2.2401123,4.800995,5.2978916
3,669.5971,259.3584,667.75,251.80727,-1.8471069,-7.551132,7.7737637
3,655.95245,284.61972,651.99927,276.2318,-3.953186,-8.387909,9.272793
