frame,x,y,area,dx,dy,displacement
7,669,312,1193.0,,,
8,663,325,5874.5,-6.0,13.0,14.317821063276353
9,656,325,6138.5,-7.0,0.0,7.0
10,648,324,6722.5,-8.0,-1.0,8.06225774829855
11,644,325,8393.0,-4.0,1.0,4.123105625617661
12,634,324,8862.5,-10.0,-1.0,10.04987562112089
13,857,317,9813.5,223.0,-7.0,223.10983842045155
14,845,318,10255.5,-12.0,1.0,12.041594578792296
15,832,319,10951.5,-13.0,1.0,13.038404810405298
16,818,318,11901.0,-14.0,-1.0,14.035668847618199
17,802,318,12090.0,-16.0,0.0,16.0
18,786,317,12508.5,-16.0,-1.0,16.0312195418814
19,768,316,12873.5,-18.0,-1.0,18.027756377319946
20,750,315,12604.5,-18.0,-1.0,18.027756377319946
21,733,313,12507.0,-17.0,-2.0,17.11724276862369
22,716,312,12211.5,-17.0,-1.0,17.029386365926403
23,699,309,11730.0,-17.0,-3.0,17.26267650163207
24,684,336,9602.0,-15.0,27.0,30.886890422961002
25,664,333,9541.5,-20.0,-3.0,20.223748416156685
26,402,291,9439.0,-262.0,-42.0,265.34505836740203
27,385,288,9396.5,-17.0,-3.0,17.26267650163207
28,367,285,9429.0,-18.0,-3.0,18.24828759089466
29,350,281,9227.5,-17.0,-4.0,17.46424919657298
30,333,278,9266.5,-17.0,-3.0,17.26267650163207
31,316,275,9452.5,-17.0,-3.0,17.26267650163207
32,298,272,9495.0,-18.0,-3.0,18.24828759089466
33,501,282,13395.0,203.0,10.0,203.24615617521528
34,481,279,13879.5,-20.0,-3.0,20.223748416156685
35,463,277,14310.0,-18.0,-2.0,18.110770276274835
36,441,274,14238.0,-22.0,-3.0,22.20360331117452
37,425,273,12154.5,-16.0,-1.0,16.0312195418814
38,404,271,11578.5,-21.0,-2.0,21.095023109728988
39,382,269,11459.0,-22.0,-2.0,22.090722034374522
40,148,245,10251.5,-234.0,-24.0,235.2275494069519
41,131,241,9981.0,-17.0,-4.0,17.46424919657298
42,114,237,9651.0,-17.0,-4.0,17.46424919657298
