frame,x,y,area,dx,dy,displacement
105,451,181,905.5,,,
114,431,253,815.0,-20.0,72.0,74.72616676907762
119,415,256,1796.5,-16.0,3.0,16.278820596099706
120,293,371,844.0,-122.0,115.0,167.6573887426379
121,283,371,1166.0,-10.0,0.0,10.0
122,284,382,1598.5,1.0,11.0,11.045361017187261
123,412,316,851.0,128.0,-66.0,144.01388821915754
124,279,397,1931.5,-133.0,81.0,155.72411502397438
127,268,425,1459.5,-11.0,28.0,30.083217912982647
128,261,426,2025.0,-7.0,1.0,7.0710678118654755
129,263,443,1884.0,2.0,17.0,17.11724276862369
130,254,448,1785.0,-9.0,5.0,10.295630140987
131,252,455,2288.0,-2.0,7.0,7.280109889280518
132,251,474,1282.5,-1.0,19.0,19.026297590440446
133,241,470,2245.0,-10.0,-4.0,10.770329614269007
134,238,479,2433.0,-3.0,9.0,9.486832980505138
135,232,479,3006.0,-6.0,0.0,6.0
136,231,498,2850.0,-1.0,19.0,19.026297590440446
137,225,504,3136.5,-6.0,6.0,8.48528137423857
138,216,508,3142.0,-9.0,4.0,9.848857801796104
139,326,578,3526.5,110.0,70.0,130.38404810405297
140,206,529,3213.0,-120.0,-49.0,129.61867149450345
141,205,549,3120.0,-1.0,20.0,20.024984394500787
142,198,553,3464.0,-7.0,4.0,8.06225774829855
143,310,634,3688.5,112.0,81.0,138.2208377922808
144,311,644,3760.5,1.0,10.0,10.04987562112089
145,182,598,3503.0,-129.0,-46.0,136.95619737711763
146,178,610,3640.0,-4.0,12.0,12.649110640673518
147,267,437,4140.0,89.0,-173.0,194.5507645834372
148,157,624,2913.0,-110.0,187.0,216.9539121564762
149,143,622,2712.0,-14.0,-2.0,14.142135623730951
150,350,545,5356.5,207.0,-77.0,220.85742007005334
151,356,596,3373.5,6.0,51.0,51.35172830587107
152,339,557,2768.0,-17.0,-39.0,42.5440947723653
153,329,608,3878.5,-10.0,51.0,51.97114584074513
154,217,512,3410.5,-112.0,-96.0,147.5127113166862
155,230,518,2705.0,13.0,6.0,14.317821063276353
156,218,532,3133.0,-12.0,14.0,18.439088914585774
157,182,557,3674.0,-36.0,25.0,43.829214001622255
158,181,572,4045.0,-1.0,15.0,15.033296378372908
159,181,591,4702.0,0.0,19.0,19.0
160,186,605,5259.5,5.0,14.0,14.866068747318506
161,151,629,4541.0,-35.0,24.0,42.43819034784589
162,149,641,4257.0,-2.0,12.0,12.165525060596439
163,179,650,5628.0,30.0,9.0,31.32091952673165
164,181,659,4059.0,2.0,9.0,9.219544457292887
165,178,667,1265.5,-3.0,8.0,8.54400374531753
