frame,x,y,area,dx,dy,displacement
51,532,481,850.5,,,
57,511,468,962.5,-21.0,-13.0,24.698178070456937
58,507,475,1484.5,-4.0,7.0,8.06225774829855
59,502,466,1837.0,-5.0,-9.0,10.295630140987
60,498,469,1817.0,-4.0,3.0,5.0
70,462,472,1233.0,-36.0,3.0,36.124783736376884
71,458,459,911.0,-4.0,-13.0,13.601470508735444
72,453,476,1411.0,-5.0,17.0,17.72004514666935
73,447,478,936.0,-6.0,2.0,6.324555320336759
220,178,502,19983.0,-269.0,24.0,270.06850982667345
264,316,535,925.0,138.0,33.0,141.89080308462562
265,320,535,893.0,4.0,0.0,4.0
266,136,536,1127.0,-184.0,1.0,184.00271737123884
267,141,537,1162.0,5.0,1.0,5.0990195135927845
268,335,531,1182.0,194.0,-6.0,194.09276132818556
269,339,531,1149.0,4.0,0.0,4.0
270,344,531,1099.0,5.0,0.0,5.0
271,347,535,979.0,3.0,4.0,5.0
272,352,532,1093.0,5.0,-3.0,5.830951894845301
273,356,535,964.5,4.0,3.0,5.0
275,365,534,922.0,9.0,-1.0,9.055385138137417
304,426,527,864.0,61.0,-7.0,61.40032573203501
305,430,528,825.0,4.0,1.0,4.123105625617661
306,434,527,844.0,4.0,-1.0,4.123105625617661
307,438,524,965.0,4.0,-3.0,5.0
308,258,537,1024.0,-180.0,13.0,180.46883387443938
309,447,524,1003.0,189.0,-13.0,189.44656238633627
310,267,531,1050.0,-180.0,7.0,180.13605968822566
311,272,533,983.0,5.0,2.0,5.385164807134504
346,373,524,1457.0,101.0,-9.0,101.40019723846694
347,378,515,1861.0,5.0,-9.0,10.295630140987
348,384,512,2032.5,6.0,-3.0,6.708203932499369
349,390,511,2122.0,6.0,-1.0,6.082762530298219
350,396,511,2071.0,6.0,0.0,6.0
351,402,511,2038.0,6.0,0.0,6.0
352,407,511,2059.0,5.0,0.0,5.0
353,412,516,1916.0,5.0,5.0,7.0710678118654755
354,416,531,1336.0,4.0,15.0,15.524174696260024
355,420,530,938.5,4.0,-1.0,4.123105625617661
