frame,x,y,area,dx,dy,displacement
17,620,260,2060.0,,,
18,608,265,2214.0,-12.0,5.0,13.0
19,605,266,1947.0,-3.0,1.0,3.1622776601683795
20,620,286,1202.0,15.0,20.0,25.0
21,677,288,1323.0,57.0,2.0,57.0350769263968
35,620,298,874.0,-57.0,10.0,57.87054518492115
36,613,298,893.5,-7.0,0.0,7.0
37,607,299,915.5,-6.0,1.0,6.082762530298219
38,600,298,1010.0,-7.0,-1.0,7.0710678118654755
39,592,297,1068.5,-8.0,-1.0,8.06225774829855
40,585,296,1060.5,-7.0,-1.0,7.0710678118654755
41,577,295,1184.5,-8.0,-1.0,8.06225774829855
42,569,294,1154.5,-8.0,-1.0,8.06225774829855
43,565,307,1697.5,-4.0,13.0,13.601470508735444
44,554,294,1168.0,-11.0,-13.0,17.029386365926403
45,546,293,1206.0,-8.0,-1.0,8.06225774829855
46,541,306,1795.5,-5.0,13.0,13.92838827718412
47,533,306,1803.0,-8.0,0.0,8.0
48,525,306,1778.5,-8.0,0.0,8.0
49,513,292,1236.0,-12.0,-14.0,18.439088914585774
50,510,306,1768.5,-3.0,14.0,14.317821063276353
51,502,307,1740.0,-8.0,1.0,8.06225774829855
52,493,306,1815.5,-9.0,-1.0,9.055385138137417
53,482,293,1190.5,-11.0,-13.0,17.029386365926403
54,478,306,1806.0,-4.0,13.0,13.601470508735444
55,468,293,1171.5,-10.0,-13.0,16.401219466856727
56,462,295,1092.0,-6.0,2.0,6.324555320336759
91,222,595,1511.5,-240.0,300.0,384.1874542459709
92,225,611,923.0,3.0,16.0,16.278820596099706
93,230,591,899.0,5.0,-20.0,20.615528128088304
113,331,631,1056.0,101.0,40.0,108.63240768757728
114,348,632,1524.0,17.0,1.0,17.029386365926403
115,353,633,1608.5,5.0,1.0,5.0990195135927845
116,373,629,1843.0,20.0,-4.0,20.396078054371138
117,347,497,1152.0,-26.0,-132.0,134.5362404707371
155,564,302,991.5,217.0,-195.0,291.74303762043746
156,550,250,1409.5,-14.0,-52.0,53.85164807134504
280,831,365,1168.0,281.0,115.0,303.621474866321
281,824,371,1530.0,-7.0,6.0,9.219544457292887
282,822,366,2059.5,-2.0,-5.0,5.385164807134504
283,808,363,1698.0,-14.0,-3.0,14.317821063276353
284,792,362,1322.5,-16.0,-1.0,16.0312195418814
312,663,299,3020.0,-129.0,-63.0,143.56183336806478
313,652,302,3769.5,-11.0,3.0,11.40175425099138
314,603,297,2514.0,-49.0,-5.0,49.25444142409901
315,504,298,1647.0,-99.0,1.0,99.00505037623081
328,602,310,910.5,98.0,12.0,98.73196037757987
331,583,309,981.5,-19.0,-1.0,19.026297590440446
332,575,308,1032.5,-8.0,-1.0,8.06225774829855
333,567,306,1094.0,-8.0,-2.0,8.246211251235321
334,560,306,1161.0,-7.0,0.0,7.0
335,552,305,1153.5,-8.0,-1.0,8.06225774829855
