frame,x,y,area,dx,dy,displacement
17,620,260,2087.0,,,
18,587,265,3678.5,-33.0,5.0,33.37663853655727
19,647,251,1293.0,60.0,-14.0,61.61168720299745
20,613,286,895.0,-34.0,35.0,48.79549159502341
37,607,299,935.0,-6.0,13.0,14.317821063276353
38,600,299,944.0,-7.0,0.0,7.0
39,593,298,1014.0,-7.0,-1.0,7.0710678118654755
40,585,296,1082.5,-8.0,-2.0,8.246211251235321
41,578,296,1019.5,-7.0,0.0,7.0
42,569,294,1210.5,-9.0,-2.0,9.219544457292887
43,561,294,1192.0,-8.0,0.0,8.0
44,557,307,1653.0,-4.0,13.0,13.601470508735444
45,550,307,1736.0,-7.0,0.0,7.0
46,541,306,1756.5,-9.0,-1.0,9.055385138137417
47,533,306,1758.0,-8.0,0.0,8.0
48,525,306,1761.0,-8.0,0.0,8.0
49,513,293,1226.5,-12.0,-13.0,17.69180601295413
50,510,306,1776.0,-3.0,13.0,13.341664064126334
51,502,307,1786.0,-8.0,1.0,8.06225774829855
52,494,307,1768.5,-8.0,0.0,8.0
53,485,306,1814.5,-9.0,-1.0,9.055385138137417
54,479,307,1743.0,-6.0,1.0,6.082762530298219
55,468,293,1166.0,-11.0,-14.0,17.804493814764857
56,466,309,1754.0,-2.0,16.0,16.1245154965971
91,223,577,819.0,-243.0,268.0,361.763735053695
92,225,611,881.0,2.0,34.0,34.058772731852805
94,235,618,910.0,10.0,7.0,12.206555615733702
114,349,633,1665.0,114.0,15.0,114.9826073804208
115,357,633,2132.5,8.0,0.0,8.0
116,372,627,1774.0,15.0,-6.0,16.15549442140351
117,346,495,1130.0,-26.0,-132.0,134.5362404707371
118,362,495,1132.5,16.0,0.0,16.0
155,495,280,986.0,133.0,-215.0,252.81218325072865
156,582,279,1725.5,87.0,-1.0,87.00574693662483
157,653,278,883.0,71.0,-1.0,71.00704190430693
280,844,375,1279.5,191.0,97.0,214.21951358361358
281,824,364,1364.5,-20.0,-11.0,22.825424421026653
282,818,363,1695.5,-6.0,-1.0,6.082762530298219
283,802,362,1341.5,-16.0,-1.0,16.0312195418814
284,792,362,1346.5,-10.0,0.0,10.0
312,605,298,2160.5,-187.0,-64.0,197.6486782146544
313,587,305,2574.5,-18.0,7.0,19.313207915827967
314,625,294,1588.5,38.0,-11.0,39.56008088970496
315,667,305,1034.0,42.0,11.0,43.41658669218482
328,602,310,928.0,-65.0,5.0,65.19202405202648
329,596,310,972.0,-6.0,0.0,6.0
331,582,309,1028.5,-14.0,-1.0,14.035668847618199
332,574,306,1092.5,-8.0,-3.0,8.54400374531753
333,567,306,1138.0,-7.0,0.0,7.0
334,560,306,1132.0,-7.0,0.0,7.0
335,552,305,1157.5,-8.0,-1.0,8.06225774829855
