frame,x,y,area,dx,dy,displacement
8,749,367,958.5,,,
16,733,279,981.0,-16.0,-88.0,89.44271909999159
17,621,260,2171.5,-112.0,-19.0,113.6001760562016
18,588,265,3710.0,-33.0,5.0,33.37663853655727
19,606,266,1938.0,18.0,1.0,18.027756377319946
20,595,266,1950.0,-11.0,0.0,11.0
21,549,250,990.0,-46.0,-16.0,48.703182647543684
34,625,298,834.5,76.0,48.0,89.88882021697692
37,606,298,962.5,-19.0,0.0,19.0
38,600,298,1010.0,-6.0,0.0,6.0
39,592,296,1053.0,-8.0,-2.0,8.246211251235321
40,585,296,1079.5,-7.0,0.0,7.0
41,577,295,1157.0,-8.0,-1.0,8.06225774829855
42,569,294,1190.5,-8.0,-1.0,8.06225774829855
43,561,294,1142.0,-8.0,0.0,8.0
44,554,294,1203.0,-7.0,0.0,7.0
45,546,293,1204.0,-8.0,-1.0,8.06225774829855
46,541,306,1862.0,-5.0,13.0,13.92838827718412
47,533,306,1800.0,-8.0,0.0,8.0
48,525,306,1765.0,-8.0,0.0,8.0
49,513,292,1235.0,-12.0,-14.0,18.439088914585774
50,510,307,1775.0,-3.0,15.0,15.297058540778355
51,502,306,1717.5,-8.0,-1.0,8.06225774829855
52,494,307,1815.0,-8.0,1.0,8.06225774829855
53,486,307,1705.0,-8.0,0.0,8.0
54,475,294,1228.0,-11.0,-13.0,17.029386365926403
55,467,293,1166.5,-8.0,-1.0,8.06225774829855
56,462,295,1132.0,-5.0,2.0,5.385164807134504
57,467,322,906.5,5.0,27.0,27.459060435491963
