frame,x,y,area,dx,dy,displacement
35,726,618,821.0,,,
36,721,618,867.0,-5.0,0.0,5.0
37,716,618,863.0,-5.0,0.0,5.0
38,711,617,873.5,-5.0,-1.0,5.0990195135927845
44,685,614,847.0,-26.0,-3.0,26.1725046566048
45,680,614,1045.0,-5.0,0.0,5.0
46,675,609,906.5,-5.0,-5.0,7.0710678118654755
47,670,607,844.5,-5.0,-2.0,5.385164807134504
48,665,606,1478.0,-5.0,-1.0,5.0990195135927845
49,661,605,1470.5,-4.0,-1.0,4.123105625617661
50,656,602,1598.5,-5.0,-3.0,5.830951894845301
51,651,594,1244.0,-5.0,-8.0,9.433981132056603
52,647,602,1476.0,-4.0,8.0,8.94427190999916
53,643,602,1500.5,-4.0,0.0,4.0
54,639,581,2313.0,-4.0,-21.0,21.37755832643195
55,634,581,2488.5,-5.0,0.0,5.0
56,628,581,2545.5,-6.0,0.0,6.0
57,622,581,2575.0,-6.0,0.0,6.0
58,617,581,2442.0,-5.0,0.0,5.0
59,611,581,2347.0,-6.0,0.0,6.0
60,607,584,2127.5,-4.0,3.0,5.0
61,602,585,1391.0,-5.0,1.0,5.0990195135927845
63,594,575,1822.0,-8.0,-10.0,12.806248474865697
64,589,586,2210.0,-5.0,11.0,12.083045973594572
65,584,582,2410.0,-5.0,-4.0,6.4031242374328485
66,579,583,2440.5,-5.0,1.0,5.0990195135927845
67,574,583,2434.0,-5.0,0.0,5.0
68,568,582,2507.0,-6.0,-1.0,6.082762530298219
69,563,582,2485.0,-5.0,0.0,5.0
70,554,617,954.0,-9.0,35.0,36.138621999185304
84,692,557,950.0,138.0,-60.0,150.47923444781344
85,501,596,1825.0,-191.0,39.0,194.94101672044292
86,495,599,1730.0,-6.0,3.0,6.708203932499369
87,490,596,1972.0,-5.0,-3.0,5.830951894845301
88,482,607,1339.0,-8.0,11.0,13.601470508735444
89,697,608,840.0,215.0,1.0,215.00232556881798
129,592,610,839.0,-105.0,2.0,105.01904589168576
134,575,613,1018.0,-17.0,3.0,17.26267650163207
135,344,615,1432.0,-231.0,2.0,231.00865784641059
136,339,615,1459.0,-5.0,0.0,5.0
137,334,618,1327.0,-5.0,3.0,5.830951894845301
138,556,613,983.5,222.0,-5.0,222.05629916757596
155,274,627,1050.0,-282.0,14.0,282.3473038652928
156,269,618,1339.0,-5.0,-9.0,10.295630140987
157,265,620,1411.0,-4.0,2.0,4.47213595499958
158,260,620,1408.0,-5.0,0.0,5.0
159,255,621,1411.0,-5.0,1.0,5.0990195135927845
160,250,623,1296.0,-5.0,2.0,5.385164807134504
209,222,627,28585.5,-28.0,4.0,28.284271247461902
251,154,671,1463.0,-68.0,44.0,80.99382692526635
252,159,671,1506.0,5.0,0.0,5.0
253,164,671,1512.0,5.0,0.0,5.0
254,408,664,1631.0,244.0,-7.0,244.10038918445008
255,176,671,1609.0,-232.0,7.0,232.1055794245369
256,182,671,1579.0,6.0,0.0,6.0
257,188,671,1588.0,6.0,0.0,6.0
258,194,672,1582.0,6.0,1.0,6.082762530298219
259,200,672,1567.0,6.0,0.0,6.0
260,206,672,1595.0,6.0,0.0,6.0
261,212,672,1603.0,6.0,0.0,6.0
262,217,672,1528.0,5.0,0.0,5.0
263,222,673,1464.0,5.0,1.0,5.0990195135927845
264,461,664,1059.0,239.0,-9.0,239.1693960355296
288,524,664,976.0,63.0,0.0,63.0
289,297,666,1208.0,-227.0,2.0,227.00881040171106
290,302,671,1448.0,5.0,5.0,7.0710678118654755
291,307,670,1466.0,5.0,-1.0,5.0990195135927845
292,312,669,1449.0,5.0,-1.0,5.0990195135927845
293,319,661,1952.0,7.0,-8.0,10.63014581273465
294,324,663,1907.5,5.0,2.0,5.385164807134504
295,332,658,2116.0,8.0,-5.0,9.433981132056603
296,338,657,2178.5,6.0,-1.0,6.082762530298219
297,343,659,2015.5,5.0,2.0,5.385164807134504
298,348,659,1925.0,5.0,0.0,5.0
299,351,666,1522.0,3.0,7.0,7.615773105863909
300,359,658,1847.0,8.0,-8.0,11.313708498984761
301,361,663,1075.0,2.0,5.0,5.385164807134504
328,457,638,2241.0,96.0,-25.0,99.20181449953424
329,462,639,2542.0,5.0,1.0,5.0990195135927845
330,467,639,2630.5,5.0,0.0,5.0
331,473,639,2683.0,6.0,0.0,6.0
332,681,627,3176.0,208.0,-12.0,208.34586628968668
333,689,627,3141.0,8.0,0.0,8.0
334,695,628,3122.5,6.0,1.0,6.082762530298219
335,502,639,2831.0,-193.0,11.0,193.31321734428818
336,509,639,2822.0,7.0,0.0,7.0
337,515,639,2763.0,6.0,0.0,6.0
338,521,639,2681.5,6.0,0.0,6.0
339,526,672,1425.0,5.0,33.0,33.37663853655727
340,533,678,1028.5,7.0,6.0,9.219544457292887
341,537,678,851.0,4.0,0.0,4.0
379,664,679,917.0,127.0,1.0,127.00393694685216
380,652,611,1599.0,-12.0,-68.0,69.05070600652827
381,657,605,1351.0,5.0,-6.0,7.810249675906654
382,663,611,1559.0,6.0,6.0,8.48528137423857
383,894,638,1148.0,231.0,27.0,232.57256931977167
