frame,x_old,y_old,x_new,y_new,dx,dy,displacement
0,774.0,338.0,767.05304,335.1975,-6.9469604,-2.8024902,7.4909415
0,788.0,318.0,782.40125,316.29407,-5.598755,-1.7059326,5.8528852
0,770.0,354.0,762.1971,351.0479,-7.8029175,-2.9520874,8.342682
0,733.0,230.0,733.56305,224.23611,0.5630493,-5.7638855,5.7913213
0,848.0,235.0,847.40436,237.15599,-0.5956421,2.1559906,2.2367578
0,861.0,243.0,859.78613,245.19333,-1.2138672,2.1933289,2.5068238
0,548.0,645.0,548.73804,644.5195,0.7380371,-0.4805298,0.88068587
0,684.0,274.0,681.3932,264.69525,-2.6068115,-9.304749,9.6630125
0,313.0,149.0,314.30746,148.95251,1.3074646,-0.04748535,1.3083266
0,294.0,229.0,295.09546,228.5853,1.095459,-0.41470337,1.171328
0,771.0,219.0,772.6497,216.08496,1.6497192,-2.915039,3.3494816
0,671.0,300.0,666.4849,290.11465,-4.5150757,-9.885345,10.867657
0,436.0,60.0,436.23593,59.71633,0.2359314,-0.28366852,0.36895996
0,800.0,220.0,800.6198,218.91713,0.619812,-1.0828705,1.2477081
0,1178.0,444.0,1178.9398,443.66452,0.93981934,-0.33547974,0.9979013
0,299.0,142.0,299.5479,141.93164,0.5479126,-0.068359375,0.5521605
0,806.0,265.0,804.45624,264.76788,-1.5437622,-0.2321167,1.5611149
0,818.0,230.0,818.4782,230.27077,0.47821045,0.2707672,0.54954535
0,1149.0,74.0,1149.6686,73.562515,0.6685791,-0.43748474,0.7989937
0,335.0,152.0,335.74704,151.9922,0.7470398,-0.007797241,0.7470805
0,836.0,221.0,835.54425,221.73906,-0.4557495,0.73905945,0.8682836
0,845.0,268.0,842.81335,269.1045,-2.1866455,1.1044922,2.4497595
0,283.0,204.0,284.38516,203.80087,1.3851624,-0.1991272,1.3994021
0,817.0,214.0,816.65625,213.63744,-0.34375,-0.3625641,0.49961665
0,1247.0,83.0,1247.8928,82.389275,0.89282227,-0.6107254,1.0817195
0,789.0,405.0,777.3041,402.97363,-11.695923,-2.0263672,11.870164
0,895.0,347.0,886.32764,352.84238,-8.672363,5.8423767,10.456732
